Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
10,13,59,83,54,71,45,1981,92,2010,0,2.64,2009,2011-10-13,FALSE,NA,FALSE,1.1800000000000002,286,Oct
6,22,52,68,53,70,47,1953,98,1989,0,0,NA,2011-06-22,FALSE,NA,FALSE,0.97,173,Jun
2,26,35,49,46,60,35,2011,77,1986,0,1.06,1955,2011-02-26,FALSE,NA,FALSE,4.790000000000001,57,Feb
2,21,39,52,46,60,34,1955,72,1995,0,1.49,1998,2011-02-21,FALSE,NA,FALSE,3.830000000000001,52,Feb
11,13,50,63,49,64,37,1985,76,1995,0,2.12,1981,2011-11-13,FALSE,NA,FALSE,0.93,317,Nov
2,3,41,60,45,58,32,1979,70,1984,0,1.02,1998,2011-02-03,FALSE,NA,FALSE,0,34,Feb
6,29,54,64,54,71,48,1963,87,1959,0,0.2,1992,2011-06-29,FALSE,NA,FALSE,1.49,180,Jun
3,15,54,61,47,61,39,1969,81,2004,0.22,1.2,1977,2011-03-15,FALSE,NA,FALSE,1.2000000000000002,74,Mar
12,3,47,61,46,58,38,1976,73,1958,0,1.2,1967,2011-12-03,FALSE,NA,FALSE,0,337,Dec
10,28,50,70,52,68,40,1954,85,2003,0,1.07,1981,2011-10-28,FALSE,NA,FALSE,1.1800000000000002,301,Oct
12,8,39,57,45,57,29,1978,69,1988,0,0.98,2004,2011-12-08,FALSE,NA,FALSE,0,342,Dec
7,19,57,69,55,71,49,1981,90,1961,0,0,NA,2011-07-19,FALSE,NA,FALSE,0,200,Jul
6,3,50,61,52,69,45,1966,87,1960,0.16,0.18,1999,2011-06-03,FALSE,NA,FALSE,0.31,154,Jun
5,19,49,68,51,67,42,1950,86,1983,0,0.3,1961,2011-05-19,FALSE,NA,FALSE,0.39,139,May
5,16,50,61,51,67,44,1984,93,1956,0.09,0.13,1994,2011-05-16,FALSE,NA,FALSE,0.28,136,May
1,11,43,49,44,56,30,1949,69,1959,0.04,1.3,1980,2011-01-11,FALSE,NA,FALSE,0.4799999999999999,11,Jan
11,11,48,59,50,64,38,1946,74,1986,0.46,0.99,1973,2011-11-11,FALSE,NA,FALSE,0.92,315,Nov
4,29,43,64,49,65,40,1950,92,1981,0,0.73,1948,2011-04-29,FALSE,NA,FALSE,0.33000000000000007,119,Apr
5,8,50,61,50,66,44,1968,86,2001,0,0.3,1963,2011-05-08,FALSE,NA,FALSE,0,128,May
8,19,55,68,56,73,49,1955,89,1964,0,0.56,1997,2011-08-19,FALSE,NA,FALSE,0,231,Aug
3,28,46,59,47,62,37,1950,76,1986,0,0.65,1946,2011-03-28,FALSE,NA,FALSE,5.7,87,Mar
4,24,54,61,49,65,39,1960,81,2004,0.03,0.34,1983,2011-04-24,FALSE,NA,FALSE,0.31000000000000005,114,Apr
8,25,57,69,56,73,50,1955,93,1988,0,0.01,1954,2011-08-25,FALSE,NA,FALSE,0,237,Aug
11,29,47,53,47,59,36,1954,71,1977,0,0.91,1970,2011-11-29,FALSE,NA,FALSE,1.5499999999999998,333,Nov
9,25,55,70,55,73,47,1972,91,1970,0.01,0.31,1982,2011-09-25,FALSE,NA,FALSE,0.01,268,Sep
7,15,55,64,54,71,49,1962,93,1995,0,0.13,1975,2011-07-15,FALSE,NA,FALSE,0,196,Jul
11,19,43,55,48,62,35,1994,73,1989,0.31,1.12,1946,2011-11-19,FALSE,NA,FALSE,1.25,323,Nov
9,17,52,72,56,74,50,1988,94,1984,0,0.28,1982,2011-09-17,FALSE,NA,FALSE,0,260,Sep
9,15,57,68,56,74,48,1970,98,1971,0,0,NA,2011-09-15,FALSE,NA,FALSE,0,258,Sep
9,23,55,78,55,74,45,1972,92,1978,0,0.31,1982,2011-09-23,FALSE,NA,FALSE,0,266,Sep
12,19,45,59,44,56,32,1965,68,1999,0,1.81,1952,2011-12-19,FALSE,NA,FALSE,0.13,353,Dec
